Entity,Code,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14656.0,84272.0,91600.0,91600.0,106256.0,106256.0,153888.0,183200.0,293120.0,329760.0,384571.0,413885.0,490798.0,688594.0,706736.0,838551.0,1006917.0,1091159.0,1281865.0,1223391.0,941232.0,1670397.0,1893554.0,1530347.0,1635454.0,1913152.0,2121383.0,1980859.0,2384175.0,2153300.0,2232754.0,1756302.0,1978463.0,2094580.9,2519954.0,2821540.0,3501422.0,3133645.0,3113826.0,2856896.0,2764855.0,2024326.1,1914301.0,1482054.0,1486943.0,1453829.0,1417327.0,1370104.0,1304152.0,1278504.0,1091640.0,1047127.94,1069098.0,1340995.0,1559602.0,1237247.0,1889507.0,2159318.0,2799909.0,4254477.0,6391888.0,8364803.5,11838316.0,10035314.0,9250510.0,9170309.0,9791093.0,9067598.0,9867969.0,10818048.0,11081621.0,11888066.0,12283148.0,12147948.0
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7328.0,7328.0,18320.0,128209.99,296725.0,348080.0,432352.0,692496.0,626485.0,743792.0,461664.0,153888.0,120912.0,483648.0,926992.0,703488.0,1014928.0,296725.0,402981.0,373669.0,413973.0,501909.03,663006.0,838789.0,1505607.0,1201465.0,1443319.0,2022231.1,2278533.0,2461733.0,2080617.0,2014694.9,2172159.0,2549579.0,2677493.0,3069214.0,3241303.0,3739486.0,4348023.0,5637977.0,5286406.0,4341512.0,4591172.0,4947198.0,5717343.0,6491245.0,7583971.0,5170837.0,7339622.0,7307607.0,7630809.0,7825903.0,7881540.0,8058077.0,7447081.0,7329222.0,8986169.0,5520602.0,4290226.0,2517116.0,2337999.0,1923806.0,2089065.1,2017508.0,1543009.0,1754709.0,2986196.0,3024926.0,3220656.0,3748272.0,4303499.0,4176684.0,4261413.0,3910715.0,3948970.0,4397043.0,4406552.0,4783865.0,5314676.0,4850060.0,5287465.0,5999650.0,4712144.0,4631979.0,5293048.0,4894953.0,4826944.0,5018921.0,4903652.0,4954730.0
Algeria,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3664.0,7328.0,18320.0,18320.0,21984.0,25648.0,25648.0,14656.0,29312.0,32976.0,40304.0,58624.0,73072.0,80381.0,84005.0,98619.0,113227.0,120615.0,138846.0,131644.0,51029.0,69349.0,32976.0,161216.0,238160.0,311440.0,498304.0,468665.0,497921.0,615136.0,761639.0,743287.0,801884.0,908165.0,3783605.0,4131178.8,3889207.0,3999006.0,4152301.8,4606578.0,4995053.0,5537086.0,5214119.0,5657017.0,6151241.0,6055920.0,5661010.0,5419154.0,5643044.0,6588533.0,8420862.0,8431587.0,9050236.0,11262968.0,15058960.0,18649530.0,28322640.0,38277400.0,31876660.0,32001206.0,39131068.0,41844910.0,62455264.0,45545550.0,66416464.0,46341984.0,39173030.0,52503910.0,70946536.0,72609070.0,76080390.0,83883496.0,83708040.0,79808264.0,76737624.0,78806830.0,79883310.0,81943970.0,88608390.0,96776920.0,100039430.0,88369416.0,106536560.0,91449100.0,85398600.0,86839250.0,90692380.0,94580616.0,91714220.0,110992510.0,105896180.0,109889440.0,111087410.0,118856330.0,118353256.0,125094570.0,135674290.0,140786380.0,151282780.0,160087460.0,158481630.0,165089600.0,171276020.0,178577220.0,169892770.0,180225200.0,176345140.0
Andorra,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406704.0,406704.0,406704.0,410368.0,406704.0,425024.0,454336.0,465328.0,490976.0,512960.03,523952.0,523952.0,531280.0,534944.0,560592.0,575248.0,545936.0,538608.0,538608.0,516623.97,516623.97,490976.0,487312.0,476320.0,461664.0,465328.0,468992.0,465328.0,494640.0,483648.0,373728.0,363046.0,368645.0
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186864.0,249152.0,311440.0,274681.0,347904.0,413735.0,501611.0,618681.0,592885.0,618592.0,548951.0,453707.0,1179127.0,1149723.0,1222914.0,1186155.0,1552466.0,991815.0,1669539.0,2783093.0,3577917.0,3405383.0,4500532.0,4873664.0,4866398.0,4408811.0,3280042.0,3527511.0,5399808.0,5489191.0,5334352.0,5266774.0,4635179.0,5100535.0,4985847.0,4676114.0,4633840.0,5786029.0,5049306.0,4922750.0,5089864.0,5064054.0,5164449.0,5748389.0,11353248.0,12616650.0,15248957.0,15884249.0,16513294.0,17261278.0,15995108.0,15908461.0,16080002.0,17484428.0,17015688.0,15386819.0,17144838.0,17587936.0,18750156.0,20668332.0,22983320.0,23397032.0,25940960.0,25709742.0,24767724.0,26030358.0,23992706.0,22617028.0,21434458.0,19222174.0,16764786.0,17505714.0,16070269.0
Anguilla,AIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47632.0,47632.0,47632.0,54960.0,54960.0,58624.0,62288.0,62288.0,65952.0,65952.0,76944.0,84272.0,84272.0,87936.0,102592.0,109920.0,120912.0,124576.0,124576.0,124576.0,131904.0,124576.0,120912.0,117248.0,120912.0,139232.0,139232.0,128240.01,131904.0,146560.0,142896.0,137698.0,138967.0
Antarctica,ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3664.0,7328.0,7328.0,10992.0,14656.0,14656.0,14656.0,14656.0,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,7328.0,7328.0,7328.0,10992.0,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21984.0,29312.0,29312.0,36640.0,47632.0,102592.0,84272.0,91600.0,150224.0,348080.0,564256.0,989280.0,1256752.0,461664.0,425024.0,373728.0,329760.0,428688.0,707152.0,403040.0,465328.0,490976.0,406704.0,142896.0,106256.0,293120.0,84272.0,146560.0,249152.0,249152.0,274800.0,285792.0,285792.0,241824.0,249152.0,249152.0,256480.02,267472.0,271136.0,289456.0,311440.0,322432.0,344416.0,355408.0,370064.0,406704.0,428688.0,450672.0,479984.0,516623.97,534944.0,538608.0,556928.0,549600.0,545936.0,556928.0,556928.0,567920.0,582576.0,597232.0,604560.0,615552.0,641200.0,619216.0,596693.0,602192.0
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084544.0,890352.0,1755056.0,1370336.0,937984.0,1384992.0,1553536.0,1993216.0,2264352.0,2304656.0,2081152.0,2348624.0,2920208.0,2070159.9,2491520.0,2813952.0,2861584.0,3795904.0,3982768.0,6254448.0,6254448.0,7617456.0,5935680.0,8907184.0,9944096.0,9478768.0,10145616.0,8672688.0,6939616.0,4986704.0,2231376.0,2520832.0,3726288.0,5891712.0,5539968.0,7298688.0,8445520.0,10959024.0,11237488.0,11259472.0,13373600.0,12738777.0,13130350.0,12767495.0,12843815.0,13100443.0,13232287.0,14239680.0,13997231.0,15095986.0,16710979.0,16347408.0,17377468.0,15864415.0,13940459.0,13479180.0,14076890.0,13951808.0,13665986.0,13702418.0,14514933.0,17391620.0,15364626.0,29921192.0,34962916.0,36095124.0,35134740.0,36750356.0,39559988.0,44296736.0,47607776.0,44192510.0,48948800.0,48764500.0,51126708.0,53640124.0,50032660.0,55670040.0,58804852.0,63072668.0,65475984.0,69009220.0,77248870.0,82648000.0,88847130.0,90066640.0,93975900.0,95480376.0,94845480.0,99699160.0,100705870.0,102555590.0,110616140.0,108656130.0,101968540.0,103351140.0,105142040.0,106451700.0,100531220.0,104150060.0,114877224.0,121404740.0,117020424.0,112079090.0,117505740.0,121230584.0,117777490.0,118469420.0,125239784.0,131134840.0,136523740.0,139005000.0,147673550.0,142765220.0,134422270.0,124454620.0,133993820.0,156712420.0,161189180.0,174209920.0,173482060.0,187243460.0,178110960.0,185854340.0,189676100.0,191292110.0,189537740.0,188396530.0,191743840.0,189920450.0,186898880.0,180599310.0,178511620.0,166879580.0,189744130.0,192864430.0
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,49.0,32.0,40.0,,,,,,,,,,,,,,,,,250.99998,,,,,760.0,,,1068.0,1132.0,1496.0,1901.0,1715.0,1795.0,2014.0,1925.0,6082.0,6979.0,5807.0,7876.9995,8548.0,11541.0,11848.0,11120.0,13498.0,15536.0,19289.0,19685.0,25726.0,26397.0,30967.0,32616.998,34356.0,39103.0,39701.0,43244.0,44352.0,46932.0,48953.0,52868.0,59872.0,65921.0,69779.0,81789.0,83301.0,95715.0,97438.0,112658.0,126351.0,146577.0,166044.0,170468.0,164645.0,161054.0,179186.0,159946.0,182437.0,204346.0,205600.0,217035.0,212846.0,220675.0,249976.0,271553.0,245083.0,224953.0,239761.0,220658.0,88000.0,75165.0,68541.0,74332.0,90652.0,100139.0,119306.0,117754.0,170613.0,212118.0,232911.0,250873.0,342566.0,411900.0,463408.0,518652.97,626746.0,708371.0,810891.0,830097.0,876235.0,887024.0,1063548.0,934307.0,512575.97,534954.0,775782.0,817778.0,916521.0,1102404.0,1170827.0,1330324.0,1480408.0,1602728.0,1715952.0,1814823.0,1980267.0,2245192.0,2464119.0,2697317.0,2880624.0,3028572.0,3153863.0,3256154.0,3422601.0,3675326.0,3912899.0,4152766.2,4387287.0,4592712.0,4727059.0,4926960.0,5180804.0,5507856.0,5802025.0,6055597.0,6295421.0,6624855.0,6881780.0,7118719.0,7368149.0,7428925.0,7719751.0,7585534.0,7729933.0,7845646.0,7919893.0,8534360.0,8064167.0,8189549.5,9290236.0,9462471.0,8947546.0,7307800.0,5723698.0,2510247.0,2684702.0,3362694.0,2500312.0,3252761.0,3419094.0,3040204.0,3491407.0,3532701.0,3076793.0,3455560.0,3691197.0,4376169.0,4401590.0,5100210.0,5574790.0,4363332.0,4252750.0,4968878.0,5748252.0,5535004.0,5604113.0,5469323.0,5203013.0,5540153.0,5825786.0,6284110.0,6799022.0,7064143.0,6407760.0
